Wall time,Step,Value
1714967498.5441155,16000,1360.3416748046875
1714967529.5033004,32000,2171.956298828125
1714967560.5210578,48000,2656.444580078125
1714967591.214964,64000,1659.2579345703125
1714967620.6001432,80000,1235.1448974609375
1714967649.9504535,96000,901.24853515625
1714967679.3390224,112000,721.31298828125
1714967708.662209,128000,638.6582641601562
1714967737.880355,144000,557.6054077148438
1714967767.100943,160000,493.6873779296875
1714967796.421665,176000,436.22430419921875
1714967825.70088,192000,364.6097106933594
1714967854.92601,208000,299.57012939453125
1714967884.3534184,224000,284.3382568359375
1714967913.6513472,240000,258.6224365234375
1714967942.8951278,256000,245.02883911132812
1714967972.0490546,272000,226.90000915527344
1714968001.1947458,288000,212.4705810546875
1714968030.4481022,304000,206.02146911621094
1714968059.6248386,320000,193.4863739013672
1714968088.939868,336000,183.66346740722656
1714968118.2476802,352000,175.53684997558594
1714968147.5031288,368000,161.2583770751953
1714968176.6903281,384000,155.26905822753906
1714968205.8938673,400000,152.5570068359375
1714968235.186224,416000,145.4042205810547
1714968264.493497,432000,136.16812133789062
1714968293.7072322,448000,127.08970642089844
1714968323.035595,464000,129.08116149902344
1714968352.4017813,480000,129.50521850585938
1714968381.7259011,496000,125.07891082763672
