Wall time,Step,Value
1715239265.7004192,500,-319.6238098144531
1715239266.0566804,1000,-554.1766967773438
1715239266.4122572,1500,-411.4634704589844
1715239266.7681754,2000,-497.1277770996094
1715239267.1244981,2500,-193.32571411132812
1715239267.4804041,3000,-434.45361328125
1715239267.8373861,3500,-275.6404724121094
1715239268.194504,4000,-284.0597229003906
1715239268.550529,4500,-359.48748779296875
1715239268.907391,5000,-398.4214782714844
1715239269.2643876,5500,-573.2901611328125
1715239269.6199474,6000,-354.22607421875
1715239269.9759798,6500,-362.83184814453125
1715239270.332419,7000,-161.79029846191406
1715239270.6884856,7500,-396.8304748535156
1715239271.0447648,8000,-314.531982421875
1715239271.399335,8500,-436.2945861816406
1715239271.754769,9000,-390.2290954589844
1715239272.1106908,9500,-435.792724609375
1715239272.4665794,10000,-370.1123962402344
1715239272.822317,10500,-459.0304260253906
1715239273.1771379,11000,-301.7094421386719
1715239273.5330827,11500,-424.36309814453125
1715239273.8887863,12000,-359.65423583984375
1715239274.2438962,12500,-375.1705322265625
1715239274.600452,13000,-386.03790283203125
1715239274.9562664,13500,-395.1842346191406
1715239275.3110342,14000,-321.1639709472656
1715239275.665968,14500,-566.82421875
1715239276.0217981,15000,-411.5658264160156
1715239276.3772662,15500,-285.68243408203125
1715239276.7327905,16000,-258.2411804199219
1715239277.088313,16500,-93.22976684570312
1715239277.4433181,17000,41.413856506347656
1715239277.7986841,17500,7.531263828277588
1715239278.1542685,18000,-356.3735656738281
1715239278.510189,18500,-131.0535125732422
1715239278.865833,19000,-17.090978622436523
1715239279.2211087,19500,7.641246318817139
1715239279.5765169,20000,25.63803482055664
1715239279.9328973,20500,-517.3595581054688
1715239280.2872612,21000,-379.2512512207031
1715239280.6427915,21500,-345.829345703125
1715239280.9977994,22000,-465.81768798828125
1715239281.3538697,22500,-485.5782165527344
1715239281.7098658,23000,-395.8116149902344
1715239282.0649903,23500,-369.0987243652344
1715239282.4213958,24000,-352.8887634277344
1715239282.7768636,24500,-379.6209716796875
1715239283.131499,25000,-292.7115173339844
1715239283.4875412,25500,41.21139144897461
1715239283.8432782,26000,9.092880249023438
1715239284.1974337,26500,-32.646270751953125
1715239284.5533922,27000,1.5745350122451782
1715239284.9086976,27500,-10.554702758789062
1715239285.2643178,28000,-4.882959842681885
1715239285.620339,28500,-1.927209734916687
1715239285.976415,29000,-13.808313369750977
1715239286.3314133,29500,-17.956003189086914
1715239286.6873817,30000,-3.097759962081909
1715239287.04293,30500,-1.8772497177124023
1715239287.3983731,31000,2.0308053493499756
1715239287.754112,31500,26.195661544799805
1715239288.1096365,32000,17.851837158203125
1715239288.4650106,32500,-375.3565368652344
1715239288.8198593,33000,-298.33905029296875
1715239289.1763082,33500,-400.4309997558594
1715239289.5323539,34000,-390.2298278808594
1715239289.8876185,34500,-430.74365234375
1715239290.2438765,35000,-457.1171875
1715239290.5993528,35500,-294.7088317871094
1715239290.9550612,36000,-412.2939147949219
1715239291.3115206,36500,-334.34063720703125
1715239291.667786,37000,-430.96759033203125
1715239292.0241687,37500,-361.939453125
1715239292.3797696,38000,-333.2867431640625
1715239292.7354658,38500,-303.31414794921875
1715239293.0910215,39000,-376.9122009277344
1715239293.4468455,39500,-483.4278259277344
1715239293.8024893,40000,-342.6317443847656
1715239294.1583703,40500,-316.7915954589844
1715239294.5144289,41000,-371.90380859375
1715239294.8708992,41500,-421.7195739746094
1715239295.2268248,42000,-403.5392761230469
1715239295.5820634,42500,-389.9850769042969
1715239295.9386508,43000,-229.2049560546875
1715239296.2942019,43500,-294.4861145019531
1715239296.6499918,44000,-319.8560791015625
1715239297.0056725,44500,-291.9242858886719
1715239297.3605964,45000,-151.74270629882812
1715239297.7163463,45500,-315.77001953125
1715239298.072421,46000,-406.470703125
1715239298.4277728,46500,-320.8024597167969
