Wall time,Step,Value
1715239299.1398313,47500,14169.7568359375
1715239299.494905,48000,17083.458984375
1715239299.8508558,48500,14320.0986328125
1715239300.2070768,49000,12972.189453125
1715239300.5632474,49500,8864.8271484375
1715239300.9193976,50000,19439.587890625
1715239301.2753,50500,19000.357421875
1715239301.6311884,51000,14562.5673828125
1715239301.986511,51500,13560.5078125
1715239302.3425386,52000,12897.701171875
1715239302.698229,52500,9831.083984375
1715239303.0543582,53000,18208.15234375
1715239303.41044,53500,12078.509765625
1715239303.766171,54000,16482.791015625
1715239304.1220582,54500,12277.736328125
1715239304.4785366,55000,22716.982421875
1715239304.8341947,55500,18022.318359375
1715239305.1904292,56000,22598.97265625
1715239305.5464928,56500,11279.0693359375
1715239305.9025192,57000,7401.7041015625
1715239306.2591434,57500,7458.20166015625
1715239306.6154764,58000,12303.8212890625
1715239306.9713485,58500,10973.1982421875
1715239307.3270574,59000,5921.15087890625
1715239307.682203,59500,15177.7001953125
1715239308.038209,60000,17260.6015625
1715239308.393837,60500,2294.29248046875
1715239308.7495258,61000,4498.75927734375
1715239309.1056197,61500,16788.203125
1715239309.4611585,62000,355.3094787597656
1715239309.8168151,62500,14403.041015625
1715239310.1718528,63000,29149.275390625
1715239310.527562,63500,1622.0069580078125
1715239310.8828585,64000,12218.048828125
1715239311.2389436,64500,10735.6435546875
1715239311.594617,65000,9626.0068359375
1715239311.9491825,65500,5670.28515625
1715239312.3053966,66000,14846.8154296875
1715239312.660689,66500,3137.466064453125
1715239313.0161655,67000,4640.17919921875
1715239313.372328,67500,11435.423828125
1715239313.728068,68000,12445.2841796875
1715239314.0829742,68500,27494.185546875
1715239314.4381185,69000,49013.68359375
1715239314.7941546,69500,17388.212890625
1715239315.1505654,70000,16786.115234375
1715239315.5056245,70500,10756.623046875
1715239315.8609354,71000,29562.837890625
1715239316.2168186,71500,9597.423828125
1715239316.5726054,72000,30928.388671875
1715239316.9289865,72500,15042.3583984375
1715239317.2847593,73000,18630.755859375
1715239317.6405134,73500,13893.6630859375
1715239317.9959908,74000,14744.9296875
1715239318.3519256,74500,14726.15625
1715239318.7078001,75000,15180.4521484375
1715239319.0639331,75500,5814.65771484375
1715239319.4194944,76000,32751.029296875
1715239319.7745569,76500,7246.34326171875
1715239320.130993,77000,14495.2421875
1715239320.487302,77500,15112.1611328125
1715239320.842904,78000,15179.900390625
1715239321.1990073,78500,16128.587890625
1715239321.5561209,79000,13252.5048828125
1715239321.912358,79500,20962.529296875
1715239322.2676535,80000,14267.2412109375
1715239322.6236088,80500,1940.068359375
1715239322.9788601,81000,14353.25
1715239323.3350794,81500,14569.9658203125
1715239323.6910403,82000,13832.791015625
1715239324.0463955,82500,6397.76123046875
1715239324.401389,83000,12083.6162109375
1715239324.757298,83500,15520.8330078125
1715239325.1123896,84000,10276.7080078125
1715239325.46866,84500,12746.447265625
1715239325.8249767,85000,15323.361328125
1715239326.1814318,85500,17399.513671875
1715239326.5377889,86000,8640.4833984375
1715239326.8946264,86500,15870.7216796875
1715239327.2501023,87000,10049.271484375
1715239327.6059182,87500,18930.021484375
1715239327.9616337,88000,3286.943115234375
1715239328.317541,88500,43713.2578125
1715239328.6738112,89000,5699.00537109375
1715239329.030735,89500,13684.705078125
1715239329.3873446,90000,2378.404052734375
1715239329.7436604,90500,18823.060546875
1715239330.1004755,91000,20018.005859375
1715239330.4564993,91500,3912.236083984375
1715239330.8129969,92000,6321.904296875
1715239331.1698627,92500,4929.7841796875
1715239331.5265796,93000,1890.5584716796875
1715239331.8824205,93500,10463.6943359375
1715239332.238343,94000,7651.72509765625
1715239332.5945878,94500,18637.65625
1715239332.9509115,95000,2426.869873046875
1715239333.3065875,95500,11292.4921875
1715239333.663421,96000,13596.103515625
1715239334.019974,96500,7535.30029296875
1715239334.3754568,97000,19137.958984375
1715239334.7318377,97500,2860.689453125
1715239335.0872517,98000,8867.0693359375
1715239335.4434264,98500,27405.427734375
1715239335.8004324,99000,9890.3935546875
1715239336.1560292,99500,15765.150390625
1715239336.5119793,100000,16059.9873046875
1715239336.8683593,100500,8915.8115234375
1715239337.2243211,101000,16597.259765625
1715239337.580638,101500,8249.267578125
1715239337.9372723,102000,29261.01953125
1715239338.2934186,102500,13262.533203125
1715239338.6492887,103000,9918.7900390625
1715239339.0059726,103500,24033.525390625
1715239339.3623002,104000,25860.681640625
1715239339.7188191,104500,31119.466796875
1715239340.0746105,105000,6218.4580078125
1715239340.430711,105500,3439.530517578125
1715239340.7868981,106000,7337.49365234375
1715239341.143101,106500,30210.5
1715239341.5003152,107000,13532.65625
1715239341.8559456,107500,45461.26171875
1715239342.2110283,108000,32454.353515625
1715239342.5661738,108500,5296.08740234375
1715239342.922717,109000,20195.0625
1715239343.277814,109500,29923.212890625
1715239343.6342685,110000,12666.9560546875
1715239343.9911134,110500,20486.232421875
1715239344.346705,111000,43344.9921875
1715239344.7035034,111500,11999.75390625
1715239345.0588684,112000,8663.328125
1715239345.4148154,112500,3495.50390625
1715239345.7709017,113000,5756.72607421875
1715239346.1277926,113500,19284.818359375
1715239346.4832969,114000,8369.7265625
1715239346.840443,114500,12269.8486328125
1715239347.1959293,115000,7999.42919921875
1715239347.5516875,115500,22888.775390625
1715239347.9065685,116000,5243.32373046875
1715239348.2625563,116500,2420.427734375
1715239348.61931,117000,4367.77294921875
1715239348.9827282,117500,27726.638671875
1715239349.3409538,118000,40652.33984375
1715239349.6990638,118500,3788.947265625
1715239350.0566425,119000,21011.369140625
1715239350.414599,119500,16677.732421875
1715239350.7720406,120000,10901.2529296875
1715239351.1309948,120500,5705.48193359375
1715239351.4895198,121000,11184.427734375
1715239351.847231,121500,16750.958984375
1715239352.205397,122000,24464.806640625
1715239352.563225,122500,58214.0390625
1715239352.9222689,123000,25270.396484375
1715239353.2804923,123500,2257.307373046875
1715239353.63799,124000,19874.029296875
1715239353.9972885,124500,21848.60546875
1715239354.355029,125000,14859.4638671875
1715239354.713409,125500,3488.887451171875
1715239355.0727608,126000,38895.29296875
1715239355.4312232,126500,7398.82763671875
1715239355.7892785,127000,8477.6025390625
1715239356.1471393,127500,12057.744140625
1715239356.5060809,128000,2143.083740234375
1715239356.864934,128500,26676.681640625
1715239357.2222893,129000,5772.80224609375
1715239357.580549,129500,18315.501953125
1715239357.9395456,130000,30715.380859375
1715239358.2983398,130500,15122.765625
1715239358.6566098,131000,5990.689453125
1715239359.0150633,131500,14205.7529296875
1715239359.373777,132000,19832.927734375
1715239359.7316835,132500,13972.1220703125
1715239360.08969,133000,4822.912109375
1715239360.421289,133500,9237.3701171875
1715239360.7508976,134000,25601.828125
1715239361.0812159,134500,8125.68994140625
1715239361.4108355,135000,7915.12646484375
1715239361.740751,135500,3006.32177734375
1715239362.07115,136000,18105.888671875
1715239362.400886,136500,13757.5517578125
1715239362.7314346,137000,23685.9453125
1715239363.0619888,137500,8422.8671875
1715239363.392007,138000,13052.3720703125
1715239363.7219496,138500,10505.3330078125
1715239364.052258,139000,35472.1875
1715239364.3820808,139500,28519.39453125
1715239364.7121074,140000,3731.02978515625
1715239365.0419343,140500,7490.6611328125
1715239365.3719318,141000,4693.58544921875
1715239365.7011518,141500,5432.4814453125
1715239366.0310607,142000,8801.7412109375
1715239366.360595,142500,13353.3798828125
1715239366.6900861,143000,10702.2490234375
1715239367.0198746,143500,27437.50390625
1715239367.3495066,144000,10351.9130859375
1715239367.679914,144500,9389.1123046875
1715239368.0095253,145000,11453.8974609375
1715239368.339968,145500,18764.583984375
1715239368.669695,146000,9152.5380859375
1715239369.000285,146500,6483.4365234375
1715239369.331031,147000,23194.47265625
1715239369.661413,147500,5630.85498046875
1715239369.9917283,148000,1015.8533325195312
1715239370.3221786,148500,9436.671875
1715239370.6523728,149000,7520.39990234375
1715239370.9826875,149500,4280.37744140625
1715239371.3134964,150000,2269.90478515625
1715239371.6430655,150500,26150.873046875
1715239371.9728026,151000,13353.359375
